Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/monitor-servicios/health/,2791,2791,340,475.9768077108465,77.03913699879195,2637.9333999993833,49.0,96.19563303160602,96.19563303160602,340,390,420,450,1300,1500,1600,1800,2600,2600,2600
,Aggregated,2791,2791,340,475.9768077108465,77.03913699879195,2637.9333999993833,49.0,96.19563303160602,96.19563303160602,340,390,420,450,1300,1500,1600,1800,2600,2600,2600
