Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/monitor-servicios/health/,2748,2647,63,67.16300124163573,25.599994998628972,502.85424800131295,48.96324599708879,70.34549139186605,67.76001299645904,63,70,74,77,86,95,120,180,320,500,500
,Aggregated,2748,2647,63,67.16300124163573,25.599994998628972,502.85424800131295,48.96324599708879,70.34549139186605,67.76001299645904,63,70,74,77,86,95,120,180,320,500,500
