Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/monitor-servicios/health/,538,538,2400,2433.107829180574,2393.947299802676,2832.5405998621136,0.0,18.409098998242627,18.409098998242627,2400,2400,2400,2400,2500,2500,2500,2500,2800,2800,2800
,Aggregated,538,538,2400,2433.107829180574,2393.947299802676,2832.5405998621136,0.0,18.409098998242627,18.409098998242627,2400,2400,2400,2400,2500,2500,2500,2500,2800,2800,2800
